participant,language,gender,age,age_group,group,story,story_secs,direction,trial,repetition,aoi,aoi_hits,aoi_secs,percent_of_story
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,RightChestBottom,28,0.23333333333333334,0.05555555555555555
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,MidChestBottom,2,0.016666666666666666,0.003968253968253968
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,LeftChestBottom,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,LeftChestCenter,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,MidChestCenter,145,1.2083333333333333,0.2876984126984127
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,RightChestCenter,1,0.008333333333333333,0.001984126984126984
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,LeftChestTop,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,MidChestTop,57,0.475,0.11309523809523808
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,RightChestTop,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,RightFaceBottom,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,MidFaceBottom,158,1.3166666666666667,0.3134920634920635
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,LeftFaceBottom,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,LeftFaceCenter,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,MidFaceCenter,43,0.35833333333333334,0.08531746031746032
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,RightFaceCenter,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,LeftFaceTop,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,MidFaceTop,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,RightFaceTop,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,Belly,0,0,0
infant_01,nonsigning,f,0.44,infant,1,Cinderella_2,4.2,forward,1,1,LeftSide,0,0,0
