participant,recording,age,analysis,gender,group,language,huskies1,huskies1.na,huskies2,huskies2.na,golden1,golden1.na,golden2,golden2.na,golden3,golden3.na,golden4,golden4.na,golden5,golden5.na,wawa1,wawa1.na,wawa2,wawa2.na,wawa3,wawa3.na,wawa4,wawa4.na,frisby1,frisby1.na,frisby2,frisby2.na,bulldog1,bulldog1.na,bulldog2,bulldog2.na,golden6,golden6.na
ma01wa22_10m,ma01wa22 10m GOOD,0.83,GoodData,Female,2,EnglishExposed,,,0.3,,2.32,0.41,1.24,,,,1.26,,0.83,,0.14,,2.06,,,,,,,0.01,0.69,,,,,,1.49,
vi11hi18_1027d,vi11hi18 11m old girl Adorable GREAT,0.92,Not Yet Assigned,Female,2,EnglishExposed,0.6,,0.83,,2,0.21,1.27,,0.61,,0.21,,,,1.97,0.01,0.94,,0.71,,,,,,,0.07,0.11,,,,0.54,
farhad0327_12m,Karima 12m GOOD,1,GoodData,Male,2,EnglishExposed,0.31,0.02,1.3,,8.51,0.52,1.4,,1,,0.76,0.23,2.49,,4.24,,1.88,,2.1,,1.87,2.19,1.66,,2.38,,9.05,,1.48,,2.95,
Li11hy29_5m_M,Lin11hy29_5m_NSE_GOOD,0.42,GoodData,Male,2,EnglishExposed,0.43,,0.29,,5.11,0.18,,0.06,1.48,,,,0.08,0.03,0.37,,1.23,,,,,,,0.01,0.01,0.05,0.38,0.79,0.02,,0.82,0.06
NI12GO05_5M_4D,NI12GO05_5M_4D_GOOD,0.42,GoodData,Female,2,EnglishExposed,1.23,1.37,0.37,0.06,1.18,0.25,0.94,0.38,2.43,0.75,0.94,0.08,0.85,1.42,0.64,,1.33,,0.8,0.8,1.89,0.2,2.06,,0.81,0.67,1.3,,1.74,0.81,1.69,0.06
SA11KR15_5M_19D,SA11KR15_5M_19D_GOOD,0.42,GoodData,Female,2,EnglishExposed,1.05,0.27,1.18,0.15,0.48,0.81,1.64,,1.12,,1.26,1.07,0.81,0.94,2.25,,0.15,1.55,1.33,1.02,1.95,1.02,1.27,0.31,3.14,6.1,1.73,,1.4,,1.11,
boy 6 m SHIFTED,Rec 02 shiftupward DONT USE,0.5,Good_But_Needs_Shift,Male,2,EnglishExposed,,,0.47,1.62,1,0.28,,,,1.79,2.31,0.57,1.02,0.12,0.02,,1.78,7.37,0.5,0.29,3.21,,,1.06,,1.21,,0.2,0.69,0.57,1.25,
desmond,Desmond GOOD,0.5,Not Yet Assigned,Male,2,EnglishExposed,0.75,0.25,7.47,0.45,0.38,0.14,0.98,0.26,1.7,,0.19,,2.72,,14.61,4.8,2.05,,,,1.48,1.42,1.22,,0.22,0.2,0.72,0.03,4.46,0.24,,
DY10PE27_6m_11d_m,DY10PE27_6M_11D_GOOD but squirmy,0.5,GoodData,Male,2,EnglishExposed,3.05,3.63,,,1.91,0.22,2.49,,,0.5,0.03,,0.62,,1.32,,0.03,,0.76,,1.04,0.13,0.05,8.42,2.03,0.38,0.52,0.01,1.03,,1.66,
lo08jo20_6m_14d,lo08jo 6m14d GOOD,0.5,Not Yet Assigned,Female,2,EnglishExposed,0.49,0.98,1.75,,2.16,0.44,,0.36,1.71,0.58,3.6,1.04,2.44,,1.41,0.27,,1.37,0.91,0.02,,,,0.07,,0.01,0.51,0.25,1.34,,4.27,
za05da21_6m_15days_Squirmy,za05da12 6m15d GoodCalibVERYSquirmy,0.5,Crying_Check_For_Eliminating_Bad_Segments,Male,2,EnglishExposed,1.55,0.21,0.01,2.78,2.13,0.26,2.57,0.94,0.91,1.12,1.76,1.17,0.19,0.97,0.52,0.4,0.41,1.12,0.85,1.93,,2.88,1.22,,,0.07,,,1.18,,0.82,
pa09ha06_9m_6d_m,pa09ha06_9m_6d_GOOD,0.75,GoodData,Male,2,EnglishExposed,0.85,1.44,0.37,,0.78,0.22,,,,,,0.85,,,0.93,,,,,,5.38,0.28,1.71,7.19,,,0.66,,0.2,,1.65,0.03
Ab07ov09_32m,ab07ov09 32m GOOD,2.6,GoodData,Female,2,EnglishExposed,0.24,0.01,0.84,0.03,0.94,0.18,0.47,,0.76,,0.05,,0.6,,0,,1.23,,0.11,0.21,0.65,,0.25,,0.62,,1.35,,,,2.26,0.21
al10pa24_4yrs,al10pa24 4.5y GOOD,4.5,Not Yet Assigned,Male,2,EnglishExposed,0.32,,2.84,,0.78,,0.85,,5.41,,1.35,,0.64,,0.67,0.17,0.43,,0.83,0.21,0.47,0.15,0.88,,0.58,0.57,0.8,,1.87,,0.95,
na01pe06_2013_3.5y,na01pe06 3.5y GREAT,3.5,Not Yet Assigned,Male,2,EnglishExposed,1.45,0.47,0.03,0.33,1.57,0.17,0.59,,0.5,,0.87,0.02,0.04,0.31,1.04,,1.04,0.01,,0.43,0.33,0.18,0.93,0.18,,0.42,1.35,,,,1.49,
Gianna_CODA_18m,Gianna_CODA_18ms,1.5,GoodData,Male,2,SignLanguageExposed,1.44,0.19,1.14,,2.08,0.21,0.69,,5.37,,1.34,,1.34,,0.97,,3.04,,0.98,,,,1.98,,0.91,0.17,0.86,,2.12,,1.2,
ke11es12_7m_MomTerp,ke11es12_13_7m GOOD,0.58,GoodData,Female,2,SignLanguageExposed,0.66,0.04,,0.02,1.73,0.26,0.53,,2.92,,0.57,0.05,,2.43,1.47,,0.36,0.15,,,1.32,,0.47,0.34,,,,,0.03,1.39,0.02,0.04
Wells_8mos,Wells 8 mos GOOD,0.66,GoodData,Female,2,SignLanguageExposed,1.17,,2.75,,2.47,0.17,0.4,,2.77,,0.39,,1.17,,1.01,,2.56,,5.95,0.43,1.23,0.11,1.62,,1.72,1.4,2.26,,0.71,0.47,2.11,
Allan_SE_3.5y,Allan_SE_3.5y_GOOD,3.5,GoodData,Male,2,SignLanguageExposed,0.73,,0.65,0.01,2.03,0.16,0.73,,0.64,,0.69,,0.64,,4.58,0.01,1.26,,0.26,0.01,0.6,,0.7,,0.94,,1.17,0.17,0.93,,,
Cyrus_SE_3.5y,Cyrus_3y_SE_GOOD,3,GoodData,Male,2,SignLanguageExposed,0.56,0.19,2.66,0.06,4.41,1.01,2.48,0.04,1.17,0.01,1.75,0.22,0.08,,,,0.09,0.01,0.36,,0.57,0.25,0.86,0.37,0.23,,2.56,1.06,0.12,0.19,2.7,
Isabella 5 year old Deaf,Isabella 5 year old DEAF recently exposed to sign,5,GoodData,Female,2,SignLanguageExposed,0.88,0.19,0.01,0.28,0.7,0.11,1.01,0.17,0.71,,0.92,,0.4,0.23,0.76,0.5,0.98,0.06,0.63,0.33,1.02,0.64,0.49,0.33,0.05,,1.72,,,,0.67,0.08
JelenaCODAhearing_4y2m,"Jelena CODA 4y,2m",4.16,GoodData,Female,2,SignLanguageExposed,0.02,0.23,,,1.12,,0.13,,0.01,,0.01,,0.42,,0.02,,0.02,,0.02,0.02,0.01,,0.05,,0.01,0.05,0.01,,0.01,,0.84,
JuliaCoda,Julia CODA GOOD,4,GoodData,Female,2,SignLanguageExposed,0.47,0.02,0.02,0.52,1.27,0.19,1.37,0.14,1.13,,0.67,0.06,0.24,1.01,0.52,0.18,0.01,0.49,0.1,,0.07,0.4,0.05,0.27,0.37,0.16,0.55,0.56,,0.9,1.75,0.23
